case,avg_l2
0,0.5114231945122345
1,0.5105054330932127
2,0.5100794563227128
3,0.5093418513323803
4,0.5084410343062912
5,0.508046297152995
6,0.5081604113969135
7,0.5077707312671698
8,0.5064882024328815
9,0.5069992791876018
10,0.5061260335858643
11,0.5048936387795262
12,0.5053975947937177
13,0.5025515285483665
14,0.5014148299334923
15,0.5008999132390407
16,0.4989019683730564
17,0.4974648027045904
18,0.49669812512107264
19,0.4963317967956406
20,0.4961117599497497
21,0.4954477916396633
22,0.4941019436751279
23,0.4939816612210584
24,0.4927725531094925
25,0.4911500815289198
26,0.490146365458661
27,0.490197285897873
28,0.490068047679943
29,0.4893408695688794
30,0.48858091476490667
31,0.48916165263497363
32,0.48845597950452174
33,0.4883560617747012
34,0.488449936385482
35,0.48777524009856776
36,0.48637456373045757
37,0.48696202406102196
38,0.4864902323319025
39,0.4850961391356276
40,0.48535848641562573
41,0.4853571459173518
42,0.4837774602010347
43,0.48313127914798376
44,0.48320143147202027
45,0.4834883419458475
46,0.48282683941596444
47,0.4834201973667768
48,0.48252967105788325
49,0.48254944717274856
50,0.4819806587534537
51,0.48204037554778284
52,0.4812636957160275
53,0.4807613669096753
54,0.48109506866259727
55,0.4799812824394893
56,0.4807021398816314
57,0.48006704369611386
58,0.4801450497186756
59,0.4792809368643735
60,0.4793929669488155
61,0.47896008805499674
62,0.47911399501404284
63,0.47845858554878723
64,0.47918871320442186
65,0.47863758735882106
66,0.4776260097711434
67,0.47772419045368464
68,0.47788750046622624
69,0.4778775534665864
70,0.4773173061987411
71,0.4768751608250146
72,0.4769595997678267
73,0.4767453262444668
74,0.47621497150553815
75,0.47625910883645206
76,0.4765446736651157
77,0.47595410598828486
78,0.47550359172437556
79,0.4754592160561506
80,0.476550457461196
81,0.47690632427843477
82,0.4754391284676371
83,0.4753160905629113
84,0.47541644338910855
85,0.4769726047368416
86,0.4767850827275714
87,0.47599891167213076
88,0.47552881580200274
89,0.4776168759271329
90,0.47712654622860934
91,0.4772660006292786
92,0.47925704301651884
93,0.4787817680399576
94,0.47888871302337604
95,0.4786149334105157
96,0.48018773449134095
97,0.47969048230595196
98,0.4795507336264854
99,0.48151198878461327
